,Product,Type,Release_Date,Process_Size,TDP,Die_Size,Transistors,Freq,Foundry,Vendor,Date
4421,Intel i815 Graphics,GPU,2000-01-01,150.0,39.16129032258065,113.28260869565217,30.045454545454547,133.0,Intel,Intel,2000
4357,NVIDIA Vanta LT,GPU,2000-03-01,250.0,39.16129032258065,90.0,15.0,105.0,TSMC,NVIDIA,2000
3074,Sony Playstation 2 GPU 250nm,GPU,2000-03-04,250.0,79.0,279.0,54.0,147.0,Sony,Other,2000
3721,ATI Radeon DDR,GPU,2000-04-01,180.0,23.0,115.0,30.0,166.0,TSMC,ATI,2000
3500,ATI Radeon 7200 64 MB,GPU,2000-04-01,180.0,23.0,111.0,30.0,166.0,TSMC,ATI,2000
4246,ATI Radeon 7200,GPU,2000-04-01,180.0,23.0,111.0,30.0,166.0,TSMC,ATI,2000
4061,NVIDIA GeForce2 GTS PRO,GPU,2000-04-26,150.0,39.16129032258065,88.0,25.0,200.0,TSMC,NVIDIA,2000
4305,NVIDIA GeForce2 GTS,GPU,2000-04-26,150.0,39.16129032258065,88.0,25.0,200.0,TSMC,NVIDIA,2000
3164,ATI Fire GL2,GPU,2000-06-01,186.0,39.16129032258065,156.0,30.045454545454547,120.0,IBM,ATI,2000
2516,ATI Radeon SDR PCI,GPU,2000-06-01,180.0,23.0,115.0,30.0,166.0,TSMC,ATI,2000
2472,ATI Radeon DDR MAXX,GPU,2000-06-01,180.0,39.16129032258065,115.0,30.0,148.0,TSMC,ATI,2000
3720,ATI Fire GL3,GPU,2000-06-01,186.0,39.16129032258065,156.0,30.045454545454547,120.0,IBM,ATI,2000
3190,ATI Radeon 7200,GPU,2000-06-01,180.0,23.0,111.0,30.0,143.0,TSMC,ATI,2000
3486,ATI Radeon SDR,GPU,2000-06-01,180.0,23.0,115.0,30.0,166.0,TSMC,ATI,2000
2008,AMD Athlon 650,CPU,2000-06-05,180.0,38.0,120.0,37.0,650.0,Unknown,AMD,2000
1388,AMD Athlon 600,CPU,2000-06-05,180.0,38.0,120.0,37.0,600.0,Unknown,AMD,2000
1961,AMD Athlon 1000,CPU,2000-06-05,180.0,54.0,120.0,37.0,1000.0,Unknown,AMD,2000
1056,AMD Athlon 850,CPU,2000-06-05,180.0,47.0,120.0,37.0,850.0,Unknown,AMD,2000
170,AMD Athlon 700,CPU,2000-06-05,180.0,40.0,120.0,37.0,700.0,Unknown,AMD,2000
434,AMD Athlon 750,CPU,2000-06-05,180.0,43.0,120.0,37.0,750.0,Unknown,AMD,2000
303,AMD Athlon 800,CPU,2000-06-05,180.0,45.0,120.0,37.0,800.0,Unknown,AMD,2000
621,AMD Athlon 950,CPU,2000-06-05,180.0,52.0,120.0,37.0,950.0,Unknown,AMD,2000
376,AMD Athlon 900,CPU,2000-06-05,180.0,50.0,120.0,37.0,900.0,Unknown,AMD,2000
2466,3dfx Voodoo5 5500 PCI,GPU,2000-06-22,250.0,30.0,112.0,14.0,166.0,TSMC,Other,2000
